timestamp,ID,DLC,D0,D1,D2,D3,D4,D5,D6,D7
0.0560,256,8,140,0,0,0,0,0,0,0
0.1020,512,8,91,0,0,0,0,0,0,0
0.1080,256,8,153,0,0,0,0,0,0,1
0.1590,256,8,166,0,0,0,0,0,0,2
0.2050,512,8,76,0,0,0,0,0,0,1
0.2110,256,8,178,0,0,0,0,0,0,3
0.2520,768,8,170,0,0,0,0,0,0,0
0.2630,256,8,190,0,0,0,0,0,0,4
0.3090,512,8,51,0,0,0,0,0,0,2
0.3150,256,8,201,0,0,0,0,0,0,5
0.3660,256,8,211,0,0,0,0,0,0,6
0.4120,512,8,65,0,0,0,0,0,0,3
0.4180,256,8,221,0,0,0,0,0,0,7
0.4690,256,8,229,0,0,0,0,0,0,8
0.5050,768,8,170,0,0,0,0,0,0,1
0.5160,512,8,211,0,0,0,0,0,0,4
0.5220,256,8,236,0,0,0,0,0,0,9
0.5730,256,8,242,0,0,0,0,0,0,10
0.6190,512,8,206,0,0,0,0,0,0,5
0.6250,256,8,247,0,0,0,0,0,0,11
0.6760,256,8,250,0,0,0,0,0,0,12
0.7220,512,8,72,0,0,0,0,0,0,6
0.7280,256,8,253,0,0,0,0,0,0,13
0.7590,768,8,170,0,0,0,0,0,0,2
0.7800,256,8,253,0,0,0,0,0,0,14
0.8260,512,8,67,0,0,0,0,0,0,7
0.8320,256,8,253,0,0,0,0,0,0,15
0.8830,256,8,251,0,0,0,0,0,0,16
0.9290,512,8,20,0,0,0,0,0,0,8
0.9350,256,8,248,0,0,0,0,0,0,17
0.9860,256,8,244,0,0,0,0,0,0,18
1.0120,768,8,170,0,0,0,0,0,0,3
1.0330,512,8,214,0,0,0,0,0,0,9
1.0390,256,8,238,0,0,0,0,0,0,19
1.0900,256,8,231,0,0,0,0,0,0,20
1.1360,512,8,175,0,0,0,0,0,0,10
1.1420,256,8,223,0,0,0,0,0,0,21
1.1930,256,8,214,0,0,0,0,0,0,22
1.2390,512,8,185,0,0,0,0,0,0,11
1.2450,256,8,204,0,0,0,0,0,0,23
1.2660,768,8,170,0,0,0,0,0,0,4
1.2970,256,8,193,0,0,0,0,0,0,24
1.3430,512,8,160,0,0,0,0,0,0,12
1.3490,256,8,181,0,0,0,0,0,0,25
1.4000,256,8,169,0,0,0,0,0,0,26
1.4460,512,8,197,0,0,0,0,0,0,13
1.4520,256,8,157,0,0,0,0,0,0,27
1.5030,256,8,144,0,0,0,0,0,0,28
1.5190,768,8,170,0,0,0,0,0,0,5
1.5500,512,8,88,0,0,0,0,0,0,14
1.5560,256,8,131,0,0,0,0,0,0,29
1.6070,256,8,118,0,0,0,0,0,0,30
1.6530,512,8,166,0,0,0,0,0,0,15
1.6590,256,8,104,0,0,0,0,0,0,31
1.7100,256,8,92,0,0,0,0,0,0,32
1.7560,512,8,105,0,0,0,0,0,0,16
1.7620,256,8,79,0,0,0,0,0,0,33
1.7730,768,8,170,0,0,0,0,0,0,6
1.8140,256,8,67,0,0,0,0,0,0,34
1.8600,512,8,209,0,0,0,0,0,0,17
1.8660,256,8,56,0,0,0,0,0,0,35
1.9170,256,8,46,0,0,0,0,0,0,36
1.9630,512,8,159,0,0,0,0,0,0,18
1.9690,256,8,36,0,0,0,0,0,0,37
2.0200,256,8,27,0,0,0,0,0,0,38
2.0260,768,8,170,0,0,0,0,0,0,7
